date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648


23-2011-29 | 5
2025-50-07 | 8
2000-01-03| 3
2000-01-03 |3
2000-01-03|3
2000-1-03 | 3
sd00-01-03 | 3

2000-02-29 | 0.4
2000-02-30 | 0.4
2001-02-28 | 0.4
2001-02-29 | 0.4


2000-01-03 | 999.999
2012-01-11 | -1
2012-01-11 | qwerety
2001-42-42
2012-01-11 | 1
2012-01-11 | 19 ert
2012-01-11 | 0.3.98
2012-01-11 | 2147483648


2000-05-24 | 4
2009-01-02 | 8
2016-09-26 | 54
2016-09-27 | 3
2022-03-29 | 5
2025-03-15 | 1
